bins	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy	t_domain	t_phylum	t_class	t_order	t_family	t_genus	t_species
student389_ERR4998600_Bin_00024	461802	145	3131	67.69062983034749	25.35211267605634	1.408450704225352							
student389_ERR4998600_Bin_00025	1264589	141	16892	70.4986152784286	45.070422535211264	21.12676056338028	Bacteria	Chloroflexota	Ellin6529	CSP1-4	CSP1-4	SPCO01	SPCO01 sp004525275
student389_ERR4998600_Bin_00026	283845	83	3560	69.61403558509697	38.028169014084504	16.901408450704224	Bacteria						
student389_ERR4998600_Bin_00027	743793	249	2843	56.98050574296174	0.0	0.0	Bacteria	Actinobacteriota	RBG-13-55-18	RBG-13-55-18	RBG-13-55-18	RBG-13-55-18	RBG-13-55-18 sp001768645
student389_ERR4998600_Bin_00028	585165	220	2595	71.03880500104614	0.0	0.0	Bacteria	Chloroflexota	Ellin6529	CSP1-4	CSP1-4	UBA5189	UBA5189 sp003250155
student389_ERR4998600_Bin_00029	1794104	712	2425	64.27911557028665	0.0	0.0							
student389_ERR4998600_Bin_00030	3084079	683	5059	70.7996273893279	0.0	0.0							
student389_ERR4998600_Bin_00031	782149	265	2865	57.05872236247366	0.0	0.0	Bacteria	Bacteroidota	UBA10030	UBA10030	UBA6906	Fen-1262	Fen-1262 sp003152875
student389_ERR4998600_Bin_00032	324571	66	6087	70.90292232503417	0.0	0.0	Bacteria	Chloroflexota	Ellin6529	CSP1-4	CSP1-4	CF-16	CF-16 sp005880805
student389_ERR4998600_Bin_00033	571372	41	111890	67.78891095625183	0.0	0.0	Bacteria	Chloroflexota	Ellin6529	CSP1-4	CSP1-4	Fen-1039	Fen-1039 sp003141245
student389_ERR4998600_Bin_00034	763106	283	2634	67.13456483364631	0.0	0.0	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Gaiellaceae	Fen-549	Fen-549 sp003170995
student389_ERR4998600_Bin_00035	270372	100	2620	63.62761894540153	18.309859154929576	2.816901408450704							
student389_ERR4998600_Bin_00036	1650112	460	3627	62.1013421750094	0.0	0.0							
student389_ERR4998600_Bin_00037	154668	50	3068	64.24979779649658	0.0	0.0							
student389_ERR4998600_Bin_00038	3333493	945	3548	70.22295509242186	35.2112676056338	22.535211267605632	Bacteria	Chloroflexota	Ellin6529	CSP1-4	CSP1-4	Palsa-1033	Palsa-1033 sp003152165
student389_ERR4998600_Bin_00039	1187910	331	3643	70.0189098085998	56.33802816901409	45.070422535211264	Bacteria	Chloroflexota	Ellin6529	CSP1-4	CSP1-4	Palsa-1033	Palsa-1033 sp003169655
student389_ERR4998600_Bin_00040	777411	198	4397	75.23399740255259	0.0	0.0							
student389_ERR4998600_Bin_00041	869853	293	2918	69.67285094466826	0.0	0.0							
student389_ERR4998600_Bin_00042	485052	121	4249	73.58771026124114	0.0	0.0							
student389_ERR4998600_Bin_00043	852176	305	2725	39.17991804378058	0.0	0.0							
student389_ERR4998600_Bin_00044	725136	193	3998	72.03725556036146	0.0	0.0							
student389_ERR4998600_Bin_00045	395652	111	3817	40.68038300123533	0.0	0.0							
student389_ERR4998600_Bin_00046	141353	42	3328	69.67289042264295	0.0	0.0							
student389_ERR4998600_Bin_00047	15242	6	2266	52.67485812656511	0.0	0.0							
student389_ERR4998600_MAG_00001	2532349	109	44000	57.977229436729914	92.95774647887323	0.0	Bacteria	Actinobacteriota	RBG-13-55-18	Fen-727	Fen-727	FEN-680	FEN-680 sp003157385
student389_ERR4998600_MAG_00002	4300003	87	90514	49.78794016783236	91.54929577464789	0.0	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	UBA6092	FEB-25	FEB-25 sp003105035
student389_ERR4998600_MAG_00003	2190560	29	147809	68.75304021902163	95.77464788732394	4.225352112676056	Bacteria	Chloroflexota	Ellin6529	CSP1-4	CSP1-4	Fen-1039	
student389_ERR4998600_MAG_00004	3149140	589	6361	40.95907746589942	87.32394366197182	5.633802816901408	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	VadinHA17	LD21	
student389_ERR4998600_MAG_00005	1769604	284	8073	63.258990004136706	83.09859154929578	5.633802816901408	Bacteria	Actinobacteriota	RBG-13-55-18	Fen-727	Fen-727	FEN-727	FEN-727 sp003154635
student389_ERR4998600_MAG_00006	2565174	573	5018	59.405496632753916	71.83098591549296	4.225352112676056	Bacteria	Actinobacteriota	RBG-13-55-18	Fen-727	Fen-727	FEN-727	FEN-727 sp003154635
student389_ERR4998600_MAG_00007	1911629	297	8043	73.55865289776224	70.4225352112676	4.225352112676056	Bacteria	Chloroflexota	Ellin6529	CSP1-4	CSP1-4	CF-46	CF-46 sp005882635
student389_ERR4998600_MAG_00008	729446	182	4119	66.47894877272161	63.38028169014085	2.816901408450704	Bacteria	Desulfobacterota	MBNT15	MBNT15	MBNT15	CG2-30-66-27	CG2-30-66-27 sp001873935
student389_ERR4998600_MAG_00009	938584	286	3199	49.47273367646159	63.1578947368421	3.9473684210526314	Archaea	Halobacteriota	Bog-38	Bog-38	Bog-38	Bog-38	Bog-38 sp003170935
student389_ERR4998600_MAG_00010	1235411	374	3345	41.81148516807556	59.15492957746479	4.225352112676056	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	VadinHA17	LD21	LD21 sp003520925
student389_ERR4998600_MAG_00011	3567740	84	69620	70.09637922975645	53.521126760563384	4.225352112676056	Bacteria	Chloroflexota	Ellin6529	CSP1-4	CSP1-4	SPCO01	SPCO01 sp004525275
student389_ERR4998600_MAG_00012	811929	261	3093	68.69165399463682	50.70422535211268	5.633802816901408	Bacteria	Acidobacteriota	Thermoanaerobaculia	UBA5066	UBA5066	Fen-183	Fen-183 sp003152095
