gene_callers_id	source	accession	function	e_value
51028	KOfam	K02045	sulfate/thiosulfate transport system ATP-binding protein [EC:7.3.2.3]	1.2e-163
47245	KOfam	K15539	cytoskeleton protein RodZ	2.5e-46
46460	KOfam	K15539	cytoskeleton protein RodZ	4.6e-35
49652	KOfam	K21677	hydroxysqualene dehydroxylase [EC:1.17.8.1]	3.1e-129
49206	KOfam	K02904	large subunit ribosomal protein L29	1.1e-22
47375	KOfam	K00849	galactokinase [EC:2.7.1.6]	7.6e-135
46792	KOfam	K00691	maltose phosphorylase [EC:2.4.1.8]	0
47978	KOfam	K01000	phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]	9.6e-130
50065	KOfam	K01000	phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]	1.9e-127
49188	KOfam	K01000	phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]	1.5e-121
47195	KOfam	K01000	phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]	4.2e-115
48867	KOfam	K02509	2-oxo-hept-3-ene-1,7-dioate hydratase [EC:4.2.1.-]	2.4e-116
48596	KOfam	K19129	CRISPR-associated protein Csy3	3.3e-138
46766	KOfam	K01772	protoporphyrin/coproporphyrin ferrochelatase [EC:4.99.1.1 4.99.1.9]	1.2e-96
48310	KOfam	K12068	conjugal transfer pilus assembly protein TraL	3.9e-14
49935	KOfam	K16568	exopolysaccharide production protein ExoZ	2.7e-32
50543	KOfam	K02535	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108]	2.9e-123
46373	KOfam	K02535	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108]	3.6e-118
49677	KOfam	K02535	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108]	4.3e-117
48213	KOfam	K00450	gentisate 1,2-dioxygenase [EC:1.13.11.4]	4.7e-118
46690	KOfam	K01996	branched-chain amino acid transport system ATP-binding protein	7.2e-99
49973	KOfam	K01996	branched-chain amino acid transport system ATP-binding protein	2.6e-97
49151	KOfam	K01996	branched-chain amino acid transport system ATP-binding protein	1.7e-96
48749	KOfam	K00336	NADH-quinone oxidoreductase subunit G [EC:7.1.1.2]	4.5e-224
50281	KOfam	K00336	NADH-quinone oxidoreductase subunit G [EC:7.1.1.2]	1.1e-221
45143	KOfam	K01028	3-oxoacid CoA-transferase subunit A [EC:2.8.3.5]	1.7e-121
46930	KOfam	K01969	3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4]	0
48058	KOfam	K01969	3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4]	0
45207	KOfam	K03830	putative acetyltransferase [EC:2.3.1.-]	1.2e-44
46433	KOfam	K03830	putative acetyltransferase [EC:2.3.1.-]	1.4e-26
44855	KOfam	K01955	carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]	0
50376	KOfam	K10680	N-ethylmaleimide reductase [EC:1.-.-.-]	2.2e-162
48884	KOfam	K10680	N-ethylmaleimide reductase [EC:1.-.-.-]	6.7e-156
46812	KOfam	K10680	N-ethylmaleimide reductase [EC:1.-.-.-]	4.8e-154
45762	KOfam	K10680	N-ethylmaleimide reductase [EC:1.-.-.-]	5.6e-151
49265	KOfam	K03824	putative acetyltransferase [EC:2.3.1.-]	2.8e-54
45326	KOfam	K00485	dimethylaniline monooxygenase (N-oxide forming) [EC:1.14.13.8]	2.2e-104
49497	KOfam	K03832	periplasmic protein TonB	1.1e-29
45576	KOfam	K03832	periplasmic protein TonB	1.7e-21
49326	KOfam	K03832	periplasmic protein TonB	4.1e-16
48358	KOfam	K03832	periplasmic protein TonB	5.8e-15
47523	KOfam	K03832	periplasmic protein TonB	2.9e-14
50893	KOfam	K03832	periplasmic protein TonB	1.3e-12
45719	KOfam	K08973	protoporphyrinogen IX oxidase [EC:1.3.99.-]	2.2e-57
47477	KOfam	K03198	type IV secretion system protein VirB3	3.1e-28
47958	KOfam	K03198	type IV secretion system protein VirB3	1.5e-25
45802	KOfam	K03629	DNA replication and repair protein RecF	2.5e-96
50279	KOfam	K00334	NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]	2.9e-61
48747	KOfam	K00334	NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]	5.6e-49
47641	KOfam	K00334	NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]	2.9e-47
48065	KOfam	K06023	HPr kinase/phosphorylase [EC:2.7.11.- 2.7.4.-]	1.4e-130
49896	KOfam	K06023	HPr kinase/phosphorylase [EC:2.7.11.- 2.7.4.-]	1.4e-23
49938	KOfam	K02245	competence protein ComGC	1.3e-36
48642	KOfam	K07315	phosphoserine phosphatase RsbU/P [EC:3.1.3.3]	5.6e-69
46568	KOfam	K07315	phosphoserine phosphatase RsbU/P [EC:3.1.3.3]	7.9e-49
49062	KOfam	K07473	DNA-damage-inducible protein J	9.6e-20
47667	KOfam	K07467	phage replication initiation protein	3.6e-65
49598	KOfam	K03601	exodeoxyribonuclease VII large subunit [EC:3.1.11.6]	3.3e-165
48729	KOfam	K03601	exodeoxyribonuclease VII large subunit [EC:3.1.11.6]	5.8e-124
45070	KOfam	K03601	exodeoxyribonuclease VII large subunit [EC:3.1.11.6]	3.2e-89
49662	KOfam	K05516	curved DNA-binding protein	1.6e-112
49535	KOfam	K07301	cation:H+ antiporter	2.1e-90
50807	KOfam	K01599	uroporphyrinogen decarboxylase [EC:4.1.1.37]	7.9e-149
48838	KOfam	K01599	uroporphyrinogen decarboxylase [EC:4.1.1.37]	1.2e-132
50355	KOfam	K01599	uroporphyrinogen decarboxylase [EC:4.1.1.37]	4.3e-79
45734	KOfam	K12297	23S rRNA (guanine2445-N2)-methyltransferase / 23S rRNA (guanine2069-N7)-methyltransferase [EC:2.1.1.173 2.1.1.264]	6.4e-176
48533	KOfam	K11749	regulator of sigma E protease [EC:3.4.24.-]	1.3e-144
47116	KOfam	K11749	regulator of sigma E protease [EC:3.4.24.-]	9.9e-133
50166	KOfam	K11749	regulator of sigma E protease [EC:3.4.24.-]	2.4e-71
47731	KOfam	K11749	regulator of sigma E protease [EC:3.4.24.-]	1.6e-34
45619	KOfam	K11991	tRNA(adenine34) deaminase [EC:3.5.4.33]	5.5e-103
45825	KOfam	K11991	tRNA(adenine34) deaminase [EC:3.5.4.33]	1.6e-79
45285	KOfam	K08218	MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG	6e-169
46659	KOfam	K08218	MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG	5.2e-88
51029	KOfam	K02047	sulfate/thiosulfate transport system permease protein	2.8e-156
51088	KOfam	K07659	two-component system, OmpR family, phosphate regulon response regulator OmpR	2.6e-112
48176	KOfam	K01200	pullulanase [EC:3.2.1.41]	2.1e-258
48497	KOfam	K03417	methylisocitrate lyase [EC:4.1.3.30]	4.4e-131
50331	KOfam	K15513	benzoyl-CoA-dihydrodiol lyase [EC:4.1.2.44]	6.5e-297
48908	KOfam	K08224	MFS transporter, YNFM family, putative membrane transport protein	1.2e-149
49985	KOfam	K08224	MFS transporter, YNFM family, putative membrane transport protein	9.3e-114
47363	KOfam	K07665	two-component system, OmpR family, copper resistance phosphate regulon response regulator CusR	3.7e-118
47741	KOfam	K07665	two-component system, OmpR family, copper resistance phosphate regulon response regulator CusR	1.4e-107
45124	KOfam	K07665	two-component system, OmpR family, copper resistance phosphate regulon response regulator CusR	5.3e-101
47976	KOfam	K03588	cell division protein FtsW	5.5e-120
49995	KOfam	K00917	tagatose 6-phosphate kinase [EC:2.7.1.144]	6.3e-126
49041	KOfam	K19275	aminoglycoside 3-N-acetyltransferase II [EC:2.3.1.81]	3.3e-192
49166	KOfam	K02655	type IV pilus assembly protein PilE	1.6e-42
48995	KOfam	K02655	type IV pilus assembly protein PilE	3.1e-35
49051	KOfam	K02655	type IV pilus assembly protein PilE	2.6e-30
49052	KOfam	K02655	type IV pilus assembly protein PilE	7.8e-28
46262	KOfam	K07063	uncharacterized protein	1e-21
50357	KOfam	K08344	suppressor for copper-sensitivity B	1.5e-140
45635	KOfam	K02669	twitching motility protein PilT	3.8e-151
45075	KOfam	K07711	two-component system, NtrC family, sensor histidine kinase GlrK [EC:2.7.13.3]	2.2e-152
50346	KOfam	K06180	23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23]	1.7e-122
46820	KOfam	K06180	23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23]	3.3e-122
47042	KOfam	K06180	23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23]	9.7e-117
48459	KOfam	K14584	2-hydroxychromene-2-carboxylate isomerase [EC:5.99.1.4]	4.2e-52
48823	KOfam	K00297	methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]	2.6e-96
46703	KOfam	K01823	isopentenyl-diphosphate Delta-isomerase [EC:5.3.3.2]	1.6e-16
47594	KOfam	K01823	isopentenyl-diphosphate Delta-isomerase [EC:5.3.3.2]	1.2e-11
48108	KOfam	K06194	lipoprotein NlpD	4.5e-80
49921	KOfam	K10906	exodeoxyribonuclease VIII [EC:3.1.11.-]	7.8e-199
46569	KOfam	K04754	phospholipid-binding lipoprotein MlaA	4.3e-82
48577	KOfam	K00254	dihydroorotate dehydrogenase [EC:1.3.5.2]	1.8e-113
50571	KOfam	K00254	dihydroorotate dehydrogenase [EC:1.3.5.2]	2.4e-62
45651	KOfam	K04032	ethanolamine utilization cobalamin adenosyltransferase [EC:2.5.1.17]	3.8e-101
46341	KOfam	K02457	general secretion pathway protein H	1.7e-22
47577	KOfam	K03749	DedD protein	2.5e-25
45767	KOfam	K00240	succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]	1.1e-83
46513	KOfam	K00240	succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]	5.1e-74
44867	KOfam	K01638	malate synthase [EC:2.3.3.9]	4.4e-112
48910	KOfam	K01638	malate synthase [EC:2.3.3.9]	1e-110
47994	KOfam	K00526	ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]	4.4e-75
45166	KOfam	K18369	alcohol dehydrogenase [EC:1.1.1.-]	1.2e-160
48690	KOfam	K18369	alcohol dehydrogenase [EC:1.1.1.-]	2.2e-122
46708	KOfam	K07507	putative Mg2+ transporter-C (MgtC) family protein	1.8e-59
47868	KOfam	K07507	putative Mg2+ transporter-C (MgtC) family protein	1.2e-56
46319	KOfam	K01176	alpha-amylase [EC:3.2.1.1]	1.6e-81
50726	KOfam	K12678	autotransporter family porin	7.9e-98
48529	KOfam	K03774	FKBP-type peptidyl-prolyl cis-trans isomerase SlpA [EC:5.2.1.8]	2.1e-55
46306	KOfam	K07274	MipA family protein	1.8e-58
44850	KOfam	K07260	zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]	6.5e-57
45590	KOfam	K07260	zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]	1.1e-49
46516	KOfam	K00241	succinate dehydrogenase / fumarate reductase, cytochrome b subunit	6.6e-14
45653	KOfam	K04027	ethanolamine utilization protein EutM	2.2e-47
46340	KOfam	K02456	general secretion pathway protein G	9.8e-47
50604	KOfam	K07248	lactaldehyde dehydrogenase / glycolaldehyde dehydrogenase [EC:1.2.1.22 1.2.1.21]	1.7e-240
50478	KOfam	K16345	xanthine permease XanP	2.3e-211
48330	KOfam	K16345	xanthine permease XanP	3.5e-197
51101	KOfam	K06142	outer membrane protein	5e-40
51102	KOfam	K06142	outer membrane protein	1e-37
45580	KOfam	K04755	ferredoxin, 2Fe-2S	4e-36
45106	KOfam	K04755	ferredoxin, 2Fe-2S	9.3e-36
46649	KOfam	K04755	ferredoxin, 2Fe-2S	3.2e-34
45046	KOfam	K12686	outer membrane lipase/esterase	3.2e-62
45480	KOfam	K13598	two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY [EC:2.7.13.3]	3.3e-122
49869	KOfam	K06181	23S rRNA pseudouridine2457 synthase [EC:5.4.99.20]	4.4e-104
51026	KOfam	K06181	23S rRNA pseudouridine2457 synthase [EC:5.4.99.20]	1.2e-87
48429	KOfam	K03210	preprotein translocase subunit YajC	8.7e-34
48400	KOfam	K03210	preprotein translocase subunit YajC	2.3e-28
49378	KOfam	K07076	uncharacterized protein	3.5e-11
45880	KOfam	K02668	two-component system, NtrC family, sensor histidine kinase PilS [EC:2.7.13.3]	9.6e-139
50091	KOfam	K02668	two-component system, NtrC family, sensor histidine kinase PilS [EC:2.7.13.3]	3.1e-137
45857	KOfam	K03576	LysR family transcriptional regulator, regulator for metE and metH	2.3e-129
47753	KOfam	K03562	biopolymer transport protein TolQ	5.4e-103
47896	KOfam	K03562	biopolymer transport protein TolQ	3e-85
46873	KOfam	K03204	type IV secretion system protein VirB9	3.6e-89
48277	KOfam	K10536	agmatine deiminase [EC:3.5.3.12]	2e-29
44947	KOfam	K02654	leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]	4.4e-81
49698	KOfam	K09701	uncharacterized protein	1.4e-96
44773	KOfam	K14744	prophage endopeptidase [EC:3.4.-.-]	4.6e-09
47091	KOfam	K09926	uncharacterized protein	2.8e-56
46400	KOfam	K02867	large subunit ribosomal protein L11	1.6e-73
50170	KOfam	K02867	large subunit ribosomal protein L11	2.7e-72
48572	KOfam	K21700	beta-alanine degradation protein BauB	1.3e-17
49172	KOfam	K05846	osmoprotectant transport system permease protein	5.5e-103
49260	KOfam	K07089	uncharacterized protein	6e-62
48278	KOfam	K07089	uncharacterized protein	1.1e-47
46604	KOfam	K07102	N-acetylmuramate 1-kinase [EC:2.7.1.221]	2.4e-138
50766	KOfam	K01215	glucan 1,6-alpha-glucosidase [EC:3.2.1.70]	2.9e-279
46383	KOfam	K07664	two-component system, OmpR family, response regulator BaeR	9.5e-90
45065	KOfam	K03402	transcriptional regulator of arginine metabolism	1.6e-52
45433	KOfam	K18988	serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase [EC:3.4.16.4 3.4.21.-]	5.9e-129
49931	KOfam	K07116	acyl-homoserine-lactone acylase [EC:3.5.1.97]	4.6e-272
44830	KOfam	K08225	MFS transporter, ENTS family, enterobactin (siderophore) exporter	1.3e-67
46131	KOfam	K08225	MFS transporter, ENTS family, enterobactin (siderophore) exporter	1.9e-62
50332	KOfam	K15512	benzoyl-CoA 2,3-epoxidase subunit B [EC:1.14.13.208]	1.9e-259
46504	KOfam	K02046	sulfate/thiosulfate transport system permease protein	2.3e-142
51030	KOfam	K02046	sulfate/thiosulfate transport system permease protein	4.8e-139
48917	KOfam	K02046	sulfate/thiosulfate transport system permease protein	5.2e-136
44945	KOfam	K18778	cell division protein ZapD	3.6e-88
49878	KOfam	K02052	putative spermidine/putrescine transport system ATP-binding protein	3.3e-149
47429	KOfam	K00645	[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]	2e-114
47305	KOfam	K02907	large subunit ribosomal protein L30	3.3e-19
49824	KOfam	K03600	stringent starvation protein B	1e-51
